Commodity.HS2012code,Commodity.HS2012,Code.HS1992,Shortdescription.HS1992
508,"Coral and similar material, unworked or simply prepared",50800,"Coral,seashell,cuttle bone,etc, unworked,powder,waste"
3029,"Livers and roes, fresh or chilled",30270,"Fish livers and roes, fresh or chilled"
3039,"Fish livers and roes, frozen",30380,"Fish livers and roes, frozen"
3051,Fish flours fit for human consumption,30510,"Flours, meals & pellets of fish for human consumption"
3052,"Fish livers and roes, dried, salted or in brine, smoked",30520,"Livers and roes, dried, smoked, salted or in brine"
3083,"Jellyfish (Rhopilema spp.), live, fresh, chilled, frozen, dried, salted or in brine",30799,"Aquatic invertebrates nes, frozen or preserved"
3089,"Other aquatic invertebrates, live, fresh, chilled, frozen, dried, salted or in brine, smoked",160590,"Molluscs and shellfish nes, prepared or preserved"
15041,Fish-liver oils,150410,"Fish-liver oils, fractions, not chemically modified"
15042,"Fish oils, other than liver oils",150420,"Fish oils except liver, not chemically modified"
15043,Oils of marine mammals,150430,"Marine mammal fats, oils, etc. not chemically modifie"
16042,"Prepared or preserved fish, excl. whole or in pieces",160420,"Fish prepared or preserved, except whole, in pieces"
16051,"Crab, prepared or preserved",160510,"Crab, prepared or preserved"
16053,"Lobster, prepared or preserved",160530,"Lobster, prepared or preserved"
16054,"Other crustaceans, prepared or preserved",160540,"Crustaceans nes, prepared or preserved"
21039,Sauces and preparations therefor,210390,"Sauces nes, mixed condiments, mixed seasoning"
23012,"Meals of fish or crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption",230120,"Flour or meal, pellet, fish, etc, for animal feed"
23099,"Preparations of a kind used in animal feeding, nei",230990,Animal feed preparations nes
30111,"Ornamental freshwater fish, live",30110,"Ornamental fish, live"
30119,"Ornamental fish, live, other",30110,"Ornamental fish, live"
30191,"Trout (Salmo spp.), live",30191,"Trout, live"
30192,"Eels (Anguilla spp.), live",30192,"Eels, live"
30193,"Carp, live",30193,"Carp, live"
30194,"Bluefin tunas (Thunnus thynnus, Thunnus orientalis), live",30199,"Fish live, except trout, eel or carp"
30195,"Southern bluefin tunas (Thunnus maccoyii), live",30199,"Fish live, except trout, eel or carp"
30199,"Other fish, live",30199,"Fish live, except trout, eel or carp"
30211,"Trout (Salmo spp.), fresh or chilled",30211,"Trout, fresh or chilled, whole"
30213,"Pacific salmon, fresh or chilled",30212,"Salmon fresh or chilled, whole"
30214,"Atlantic and Danube salmon, fresh or chilled",30322,"Salmon Atlantic or Danube, frozen, whole"
30219,"Other salmonidae, fresh or chilled",30219,"Salmonidae, not trout or salmon,fresh or chilled whol"
30221,"Greenland, Atlantic and Pacific halibut, fresh or chilled",30221,"Halibut, fresh or chilled, whole"
30222,"Plaice (Pleuronectes platessa), fresh or chilled",30222,"Plaice, fresh or chilled, whole"
30223,"Sole (Solea spp.), fresh or chilled",30223,"Sole, fresh or chilled, whole"
30224,"Turbots (Psetta maxima), fresh or chilled",30229,"Flatfish, fresh/chilled not halibut/plaice/sole, whol"
30229,"Other flatfish, fresh or chilled",30229,"Flatfish, fresh/chilled not halibut/plaice/sole, whol"
30231,"Albacore or longfinned tuna (Thunnus alalunga), fresh or chilled",30231,"Tuna(albacore,longfin) fresh or chilled, whole"
30232,"Yellowfin tunas (Thunnus albacares), fresh or chilled",30232,"Tuna(yellowfin) fresh or chilled, whole"
30233,"Skipjack or stripe-bellied bonito, fresh or chilled",30233,"Skipjack,stripe-belly bonito, fresh or chilled, whole"
30234,"Bigeye tuna, fresh or chilled",30239,"Tuna nes, fresh or chilled, whole"
30235,"Bluefin tuna (Thunnus thynnus, Thunnus orientalis), fresh or chilled",30239,"Tuna nes, fresh or chilled, whole"
30236,Fresh or chilled Southern bluefin tuna (Thunnus maccoyii),30239,"Tuna nes, fresh or chilled, whole"
30239,"Other tunas, fresh or chilled",30239,"Tuna nes, fresh or chilled, whole"
30241,"Herrings (Clupea harengus, Clupea pallasii), fresh or chilled",30240,"Herring, fresh or chilled, whole"
30242,"Anchovies (Engraulis spp.), fresh or chilled",30269,"Fish nes, fresh or chilled, whole"
