ID_FAOTrade,Commodity,Commodity.HS2012code,Commodity.HS2012
1,"Abalone meat, frozen",30789,"Abalone (Haliotis spp.),  other than live, fresh or chilled"
2,"Abalone meat, prepared or preserved",160557,"Abalone, prepared or preserved"
3,Abalone shells,508,"Coral and similar material, unworked or simply prepared"
4,"Abalones, dried",30789,"Abalone (Haliotis spp.),  other than live, fresh or chilled"
5,"Abalones, shucked or not, live,fresh or chilled",30781,"Abalone (Haliotis spp.), live, fresh or chilled"
6,"Abalones, shucked or not, other than live,fresh or chilled",30789,"Abalone (Haliotis spp.),  other than live, fresh or chilled"
7,Agar agar in powder,130231,Agar - agar
8,Agar agar in strips,130231,Agar - agar
9,Agar agar nei,130231,Agar - agar
10,"Alaska plaice, fresh or chilled",30229,"Other flatfish, fresh or chilled"
11,"Alaska pollock fillets in blocks, frozen",30475,"Alaska Pollock (Theragra chalcogramma), fillets, frozen"
12,"Alaska pollock fillets, frozen",30475,"Alaska Pollock (Theragra chalcogramma), fillets, frozen"
13,"Alaska pollock, dried, unsalted",30559,"Other fish, dried, whether or not salted but not smoked"
14,"Alaska pollock, fresh or chilled",30255,"Alaska Pollock (Theragra chalcogramma), fresh or chilled"
15,"Alaska pollock, frozen",30367,"Alaska Pollock (Theragra chalcogramma), frozen"
16,"Alaska pollock, meat, whether or not minced, frozen",30494,"Alaska Pollock (Theragra chalcogramma), meat, frozen"
17,"Alaska pollock, not minced, prepared or preserved",160419,"Other fish, whole or in pieces, prepared or preserved"
18,"Alaska pollock, oil, nei",15042,"Fish oils, other than liver oils"
19,"Alaska pollock, roes, frozen",3039,"Fish livers and roes, frozen"
20,"Alaska pollock, roes, pickled",3052,"Fish livers and roes, dried, salted or in brine, smoked"
21,"Albacore (=Longfin tuna), fresh or chilled",30231,"Albacore or longfinned tuna (Thunnus alalunga), fresh or chilled"
22,"Albacore (=Longfin tuna), frozen, nei",30341,"Albacore or longfinned tunas (Thunnus alalunga), frozen"
23,"Albacore (=Longfin tuna), gilled, gutted, frozen",30341,"Albacore or longfinned tunas (Thunnus alalunga), frozen"
24,"Albacore (=Longfin tuna), heads-off, etc., frozen",30341,"Albacore or longfinned tunas (Thunnus alalunga), frozen"
25,"Albacore (=Longfin tuna), prep. or pres., not minced, nei",160414,"Tunas, skipjack and Atlantic bonito, prepared or preserved"
26,"Albacore (=Longfin tuna), prepared or preserved, not minced, in oil",160414,"Tunas, skipjack and Atlantic bonito, prepared or preserved"
27,"Amberjack fillets, frozen",30489,"Fish fillets, frozen, nei"
28,"Amberjacks, fresh or chilled",30289,"Other freshwater or saltwater fish,  fresh or chilled"
29,"Amberjacks, frozen",30389,"Other freshwater and saltwater fish, frozen"
30,"American plaice fillets, fresh or chilled",30443,"Flat fish, fillets, fresh or chilled"
31,"American plaice fillets, frozen",30483,"Flat fish, fillets, frozen"
32,"American plaice, frozen",30339,"Other flatfish, frozen"
33,"American/European lobsters (Homarus spp.), meat or tails, fresh or chilled",30622,"Lobsters (Homarus spp.), whether in shell or not, not frozen"
34,"American/European lobsters (Homarus spp.), meat or tails, frozen",30612,"Lobsters (Homarus spp.), whether in shell or not, frozen"
35,"American/European lobsters (Homarus spp.), nei, fresh or chilled",30622,"Lobsters (Homarus spp.), whether in shell or not, not frozen"
36,"American/European lobsters (Homarus spp.), nei, frozen",30612,"Lobsters (Homarus spp.), whether in shell or not, frozen"
37,"American/European lobsters (Homarus spp.), not frozen",30622,"Lobsters (Homarus spp.), whether in shell or not, not frozen"
38,"American/European lobsters (Homarus spp.), whole, fresh or chilled",30622,"Lobsters (Homarus spp.), whether in shell or not, not frozen"
39,"American/European lobsters (Homarus spp.), whole, frozen",30612,"Lobsters (Homarus spp.), whether in shell or not, frozen"
40,Anchoveta meal,23012,"Meals of fish or crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption"
41,Anchoveta oil,15042,"Fish oils, other than liver oils"
42,"Anchovies fillets, prepared or preserved",160416,"Anchovies, prepared or preserved"
43,"Anchovies minced, prepared or preserved",16042,"Prepared or preserved fish, excl. whole or in pieces"
44,"Anchovies nei, dried, whether or not salted, but not smoked",30559,"Other fish, dried, whether or not salted but not smoked"
45,"Anchovies, boiled in saltwater",30563,"Anchovies, salted or in brine"
46,"Anchovies, fresh or chilled",30242,"Anchovies (Engraulis spp.), fresh or chilled"
47,"Anchovies, frozen",30389,"Other freshwater and saltwater fish, frozen"
48,"Anchovies, prepared or preserved, not minced",160416,"Anchovies, prepared or preserved"
49,"Anchovies, salted or in brine",30563,"Anchovies, salted or in brine"
50,"Anchovies, semi-preserved",160416,"Anchovies, prepared or preserved"
51,"Angler (=Monk) fillets, frozen",30489,"Fish fillets, frozen, nei"
52,"Angler (=monk), fresh or chilled",30289,"Other freshwater or saltwater fish,  fresh or chilled"
53,"Angler (=monk), frozen",30389,"Other freshwater and saltwater fish, frozen"
54,"Angler (=monk), meat, frozen",30499,"Fish meat, whether or not minced, frozen"
55,"Aquatic animals, oils and fats, nei",15042,"Fish oils, other than liver oils"
56,"Aquatic invertebrates, other than live, fresh or chilled, nei",3089,"Other aquatic invertebrates, live, fresh, chilled, frozen, dried, salted or in brine, smoked"
57,"Aquatic invertebrates, other than prepared or preserved",3089,"Other aquatic invertebrates, live, fresh, chilled, frozen, dried, salted or in brine, smoked"
58,"Argentine hake, fresh or chilled",30254,"Hake (Merluccius spp., Urophycis spp.), fresh or chilled"
59,"Argentinian hake fillets, fresh or chilled",30444,"Gadiformes, fillets, fresh or chilled"
